Epoch,Train_Loss,Train_Accuracy,Valid_Accuracy
0,3111.2023572921753,15.74,20.68
1,2742.8695038557053,25.904444444444444,30.44
2,2500.7094898223877,32.83111111111111,37.66
3,2333.7546100616455,38.193333333333335,43.18
4,2195.574343442917,42.82222222222222,47.38
5,2047.1161912679672,47.13333333333333,52.839999999999996
6,1922.10684633255,50.92888888888889,53.44
7,1808.0443447232246,53.96888888888889,56.18
8,1714.0412485599518,56.51777777777778,60.0
9,1620.5455548167229,59.2,62.68
10,1538.7003301978111,61.26,64.1
11,1474.1068341732025,62.86666666666667,65.64
12,1411.1183616816998,64.57777777777778,66.74
13,1354.0459442138672,66.25111111111111,67.4
14,1294.2339439094067,67.84222222222222,67.46
15,1262.0971075892448,68.84222222222222,71.17999999999999
16,1204.6913101375103,70.11777777777777,72.06
17,1163.35133934021,71.22888888888889,68.8
18,1124.8562177717686,72.27111111111111,73.44000000000001
19,1082.4206889867783,73.14666666666666,73.02
20,1046.3512248396873,74.21555555555555,74.52
21,1012.4175712764263,75.00888888888889,74.74
22,975.9436816573143,75.94888888888889,75.76
23,951.97928160429,76.58222222222223,75.48
24,920.7824864238501,77.41111111111111,75.86
25,894.5137571394444,77.83777777777777,76.28
26,864.2488461136818,78.78888888888889,75.88000000000001
27,836.4224784821272,79.46666666666667,77.0
28,812.1034473627806,79.9088888888889,77.44
29,786.7018968909979,80.65333333333334,78.12
30,765.0835243612528,81.24222222222222,76.94
31,744.9629104882479,81.61777777777777,77.64
32,724.7081454247236,82.27555555555556,78.78
33,701.994656085968,82.60444444444444,79.2
34,688.1236682832241,83.08444444444444,78.68
35,668.1871327161789,83.61777777777777,76.42
36,649.5210586488247,84.31777777777778,79.17999999999999
37,630.7999805808067,84.66222222222223,78.16
38,609.5762426033616,85.16222222222223,78.96
39,595.7527211606503,85.41555555555556,78.24
40,581.4366717562079,86.02666666666667,79.64
41,566.6335688382387,86.24222222222222,79.66
42,554.5081644654274,86.57111111111111,79.72
43,530.1364521458745,87.14666666666666,80.92
44,521.8814452216029,87.44666666666667,80.64
45,510.53820453584194,87.67777777777778,80.04
46,497.2318155989051,88.03333333333333,78.53999999999999
47,488.31638837605715,88.16,80.78
48,459.20572151988745,88.77555555555556,80.56
49,460.7911852672696,88.93555555555555,80.28
50,0.001025032834149897,35.928890228271484,31.86
51,0.0003332134219817817,4.351110935211182,5.62
52,0.0001056237451848574,21.133333206176758,20.76
53,3.911037856596522e-05,59.39111328125,48.86
54,2.8278333047637716e-05,72.4111099243164,62.56
55,2.5195820853696205e-05,72.82888793945312,62.24
56,2.0776538804057054e-05,77.2844467163086,65.0
57,1.896630783448927e-05,79.82666778564453,67.0
58,1.816402073018253e-05,79.12000274658203,65.76
59,1.816402073018253e-05,79.12000274658203,65.76
60,1.816402073018253e-05,79.12000274658203,65.76
61,1.816296935430728e-05,79.76222229003906,66.26
62,1.6508081898791716e-05,82.2044448852539,68.82
63,1.5446303223143332e-05,84.34000396728516,69.6
64,1.4518057469103951e-05,83.81555938720703,69.5
65,1.3953917914477643e-05,84.94889068603516,70.76
66,1.2296336535655428e-05,85.91555786132812,71.12
67,1.1980286217294633e-05,86.62889099121094,71.9
68,1.1286281733191572e-05,86.96666717529297,72.2
69,1.1171224286954384e-05,87.42888641357422,72.64
70,1.0708744412113447e-05,87.27111053466797,72.84
71,9.897004019876476e-06,88.0022201538086,73.12
72,9.873634553514421e-06,88.23110961914062,73.34
73,9.252707059204113e-06,88.85556030273438,73.44
74,8.837685527396388e-06,89.5,74.14
75,7.996308340807445e-06,89.84000396728516,74.66
76,7.996308340807445e-06,89.84000396728516,74.66
77,7.863335667934734e-06,89.97333526611328,74.88
78,7.47558488001232e-06,90.50666809082031,75.08
79,7.325410479097627e-06,90.91999816894531,75.38
80,7.141563855839195e-06,90.92222595214844,75.72
81,7.090742201398825e-06,90.95555877685547,75.64
82,6.972593837417662e-06,91.16666412353516,75.9
83,6.704578936478356e-06,91.43111419677734,75.78
84,6.641915206273552e-06,91.35556030273438,76.08
85,6.593184934899909e-06,91.63333129882812,76.42
86,6.528217454615515e-06,91.695556640625,76.56
87,6.410476089513395e-06,91.89555358886719,76.4
88,6.2479662119585555e-06,91.93111419677734,76.54
89,6.2479662119585555e-06,91.93111419677734,76.54
90,6.218268481461564e-06,91.95777893066406,76.54
91,6.110768936196109e-06,92.0088882446289,76.36
92,6.0146298892505e-06,92.34666442871094,76.62
93,6.0146298892505e-06,92.34666442871094,76.62
94,6.0145284805912524e-06,92.27111053466797,76.76
95,5.919155682931887e-06,92.52000427246094,77.0
96,5.86681153436075e-06,92.44667053222656,76.62
97,5.86681153436075e-06,92.44667053222656,76.62
98,5.804982720292173e-06,92.5955581665039,76.78
99,5.669675829267362e-06,92.73555755615234,76.94
