Epoch,Train_Loss,Train_Accuracy,Valid_Accuracy
0,3067.221356153488,17.084444444444443,21.959999999999997
1,2692.5846704244614,27.313333333333333,31.759999999999998
2,2464.022503018379,34.093333333333334,37.84
3,2286.8291224241257,40.06444444444445,45.519999999999996
4,2120.404454767704,45.29555555555555,47.72
5,1974.7261127233505,49.37777777777778,53.959999999999994
6,1866.3961085677147,52.65777777777778,56.940000000000005
7,1759.9434469938278,55.52444444444444,59.06
8,1658.3027125597,58.28888888888889,62.3
9,1577.2637298703194,60.315555555555555,65.32
10,1499.2251539230347,62.51777777777778,65.96
11,1438.2190380096436,64.13111111111111,67.58
12,1379.103558510542,65.35777777777778,69.28
13,1317.6347071528435,67.42222222222222,70.64
14,1277.6597655415535,68.41111111111111,70.56
15,1220.3617572784424,69.64666666666666,71.02000000000001
16,1176.754161298275,70.92444444444445,72.72
17,1136.135808199644,71.88,74.48
18,1096.2133649885654,72.92888888888889,74.92
19,1051.4584469795227,74.2311111111111,74.6
20,1029.8377029895782,74.72,75.98
21,989.8786522746086,75.81777777777778,74.56
22,953.5389179289341,76.69555555555556,76.6
23,927.1266356408596,77.31111111111112,76.03999999999999
24,891.7178276032209,78.15333333333334,77.58
25,869.5149894654751,78.59777777777778,77.4
26,832.8328946381807,79.48444444444445,77.60000000000001
27,812.4611832946539,80.14,78.9
28,789.4811611026525,80.72,79.66
29,772.6868029981852,81.12666666666667,78.48
30,749.4301269948483,81.8711111111111,78.52
31,721.0556931346655,82.39333333333333,79.2
32,700.5253358930349,83.05555555555556,79.54
33,683.0979950577021,83.2688888888889,80.36
34,656.63043422997,84.0111111111111,79.72
35,645.753752797842,84.35777777777778,80.74
36,632.8632326424122,84.60444444444444,79.97999999999999
37,613.8694655969739,85.2088888888889,80.42
38,596.8250702247024,85.57555555555555,80.16
39,579.0480795502663,85.99777777777778,81.0
40,568.0892221778631,86.32,80.32000000000001
41,544.6960608288646,86.71777777777778,81.16
42,530.2383568510413,87.24888888888889,80.84
43,520.2424139231443,87.60888888888888,81.16
44,504.7531399615109,87.84666666666666,80.64
45,489.2287358343601,88.08444444444444,80.67999999999999
46,483.1289701759815,88.31333333333333,80.54
47,462.9446862488985,88.78444444444445,80.74
48,450.24246061593294,89.18444444444444,80.9
49,443.98613706976175,89.26666666666667,81.6
50,434.5566790625453,89.63777777777777,81.22
51,422.0374022759497,89.89111111111112,81.6
52,415.7149868607521,90.0111111111111,82.02000000000001
53,402.355004619807,90.33555555555556,81.39999999999999
54,394.7031587548554,90.58444444444444,81.34
55,385.31025364622474,90.87555555555555,80.82000000000001
56,376.46787340939045,91.05555555555556,81.24
57,367.6641080118716,91.25333333333333,81.0
58,365.9631753228605,91.37555555555555,82.1
59,355.67991428263485,91.64666666666666,81.62
60,339.5989275891334,91.91777777777777,81.78
61,343.3032096810639,91.83555555555556,81.76
62,328.67523295246065,92.16888888888889,81.10000000000001
63,319.5071749202907,92.52,82.0
64,315.1718263849616,92.49111111111111,80.88
65,316.3656789492816,92.56444444444445,82.14
66,304.06482862122357,92.84,81.96
67,306.26771056465805,92.66,81.82000000000001
68,288.4300421439111,93.16222222222223,81.54
69,286.77060594782233,93.13777777777777,81.98
70,277.3758141119033,93.35777777777778,82.69999999999999
71,275.8943299241364,93.54888888888888,80.9
72,272.84070164337754,93.5,82.67999999999999
73,273.7927476577461,93.57555555555555,82.54
74,259.0523624252528,93.74222222222222,81.74
75,260.4091007541865,93.84,82.26
76,253.2155958171934,94.09777777777778,82.16
77,247.87260253168643,94.11777777777777,81.76
78,239.99213889986277,94.35777777777778,81.16
79,246.35125446878374,94.18222222222222,82.12
80,239.07461810298264,94.45111111111112,80.78
81,238.92318094987422,94.30222222222223,82.34
82,229.72643956542015,94.5911111111111,81.8
83,226.74125647172332,94.74444444444444,82.58
84,226.49652151577175,94.75111111111111,80.14
85,222.64313797373325,94.88444444444444,81.66
86,218.96341125387698,94.8711111111111,82.66
87,221.68420421425253,94.8488888888889,83.02000000000001
88,204.929990042001,95.19555555555556,82.26
89,206.92971700336784,95.14444444444445,82.54
90,203.17274924740195,95.27777777777777,82.66
91,208.07579042669386,95.12444444444445,82.86
92,199.69135398697108,95.38444444444444,82.56
93,198.4241946581751,95.41555555555556,82.82000000000001
94,191.5041056610644,95.44666666666667,82.32000000000001
95,188.53231986798346,95.56444444444445,82.16
96,190.4140733126551,95.56,82.96
97,183.8581407489255,95.71333333333334,82.52000000000001
98,186.43874403787777,95.69111111111111,83.17999999999999
99,176.29969555232674,95.89555555555556,83.12
